slug,title,in_repo
a-guide-to-build-plotly-dashboard-with-ai-and-sf-data,Connect to Snowflake Data with Plotly and Build a Dashboard,True
agentic-audience-analytics,Agentic Audience Analytics for Media & Entertainment,True
analyze-data-with-python-using-posit-team,Analyze Data with Python using the Posit Team Native App and Snowflake,True
aws-s3-data-intelligence-with-cortex-ai-functions-search-analyst-and-agents,AWS S3 Data Intelligence with Cortex AI Functions and Cortex Agents,True
boltz2-protein-structure-prediction-snowflake-gpu,Boltz2 Protein Structure Prediction on Snowflake GPU Notebooks,True
build-a-cortex-agent-from-scratch-with-snowflake,Build a Cortex Agent from Scratch with Snowflake,True
build-a-due-diligence-and-investment-research-agent-in-snowflake-using-tavily,Build a Due Diligence and Investment Research Agent in Snowflake Using Tavily,True
build-a-lakehouse-with-snowflake-postgres-and-pg-lake,Build a Lakehouse with Snowflake Postgres and pg_lake,True
build-ai-apps-with-langchain-streamlit-and-snowflake-cortex,"Build AI Apps with LangChain, Streamlit and Snowflake Cortex",True
build-ai-apps-with-pydantic-langchain-streamlit-and-snowflake-cortex,"Build AI Apps with Structured Output using Pydantic, Langchain, Streamlit and Snowflake Cortex",True
build-ai-apps-with-streamlit-and-snowflake-cortex,Build AI Apps with Streamlit and Snowflake Cortex,True
build-an-ai-powered-analytics-app-with-nl,Build an AI-Powered Analytics App with Natural Language,True
build-and-deploy-interactive-dashboard-with-posit-team-and-cortex,Build and Deploy an Interactive Shiny Dashboard with the Posit Team Native App and Snowflake Cortex AI,True
build-chatbot-app-with-streamlit-and-snowflake-cortex,Build a Chatbot App with Streamlit and Snowflake Cortex,True
build-data-pipelines-with-snowflake-dcm-projects,Build Data Pipelines with Snowflake DCM Projects,True
build-image-analysis-app-with-streamlit-and-snowflake-cortex,Build an Image Analysis App with Streamlit and Snowflake Cortex,True
build-llm-model-comparison-app-with-streamlit-and-snowflake-cortex,Build an LLM Model Comparison App with Streamlit and Snowflake Cortex,True
build-multi-tool-ai-agent-app-with-streamlit-and-snowflake-cortex,Build a Multi-Tool AI Agent App with Streamlit and Snowflake Cortex,True
build-rag-app-with-streamlit-and-snowflake-cortex,Build a RAG App with Streamlit and Snowflake Cortex,True
build-real-time-fraud-detection-model-with-natural-language-in-snowflake-ml,Build a Real-Time Fraud Detection Model with Natural Language in Snowflake ML,True
build-streamlit-apps-with-agent-skills,Build Streamlit Apps with Agent Skills,True
build-voice-ai-analytics-pipeline-snowflake-cortex,Voice Order Processing with Snowflake AI,True
build-voice-assistant-app-with-streamlit-and-snowflake-cortex,Build a Voice Assistant App with Streamlit and Snowflake Cortex,True
comprehensive-guide-to-dynamic-tables,Comprehensive Guide to Snowflake Dynamic Tables,True
cortex-rest-api-billing-cost,Cortex REST API Billing & Cost Analysis,True
cortex-rest-api-budget-monitors,Cortex REST API Budget Monitors,True
cortex-rest-api-usage,Cortex REST API Usage Monitor,True
cortex-rest-api-usage-visualization,Cortex REST API Usage Visualization,True
create-declarative-data-pipelines-with-dynamic-tables,Create Declarative Data Pipelines with Dynamic Tables,True
create-shareable-cortex-code-session-replays-with-cortex-replay,Create Shareable Cortex Code Session Replays with cortex-replay,True
from-zero-to-agents,From Zero to Agents: Building End-to-End Data Pipelines for an AI Agent,True
get-started-snowflake-dcm-projects,Get Started with Snowflake DCM Projects,True
getting-started-with-batch-cortex-search,Getting Started with Batch Cortex Search,True
getting-started-with-cortex-code-cli,Get Started with Cortex Code CLI,True
getting-started-with-cortex-code-for-data-analysis,Getting Started with Cortex Code for Data Analysis,True
getting-started-with-snowpipe-streaming-v2,Getting Started with Snowpipe Streaming high-performance architecture and Cortex Code,True
golden-batch-process-optimization-with-cortex-ai,Golden Batch Process Optimization with Cortex AI,True
healthcare-ml-breast-cancer-classification,Healthcare ML: Breast Cancer Classification with XGBoost,True
holly-financial-research-assistant,Holly - Financial Research Assistant with Snowflake Intelligence,True
hotel-personalization-picknstays,Hotel Personalization Pick'N Stays,True
how-to-ingest-power-bi-semantic-models,How to Ingest Power BI Semantic Models,True
iceberg-v3-tables-comprehensive-guide,Enterprise Lakehouse Platform for Iceberg V3,True
intelligent-jidoka-system-for-ev-manufacturing,Intelligent Jidoka System for EV Manufacturing,True
intelligent-production-assistant-for-oil-gas,Intelligent Production Assistant for Oil & Gas,True
intro-to-iceberg,Introduction to Apache Iceberg™,True
liquidity-risk-agent,Liquidity Risk Agent: AI-Powered LCR Forecasting with Snowflake,True
mendix-rest-sql,An Introduction to the Mendix REST SQL Connector,True
ml-batch-inference-with-vision-models,ML Batch Inference with Vision Models in Snowflake,True
modern-data-architecture-for-ai-powered-insurance-claims-insights,Unlocking Hidden Value: The Modern Data Architecture for AI-Powered Insurance Claims Insights,True
multi-agent-orchestration-with-snowflake-cortex-mcp-and-amazon-quick-suite,Multi-Agent Supply Chain Orchestrator with Snowflake Cortex MCP and Amazon Quick Suite,True
multi-agent-orchestration-with-snowflake-cortex-mcp-and-microsoft-ai-foundry,Multi-Agent Agentic Orchestrator with Snowflake Cortex MCP and Microsoft AI Foundry,True
near-real-time-oracle-cdc-to-snowflake-using-openflow,Set Up Near Real-Time Oracle CDC to Snowflake Using Openflow,True
oss-retail-catchment-analysis,Retail Catchment Analysis with Overture Maps,True
powering-ai-ready-data-products-by-unpacking-complex-hl7-data-using-snowflake,Powering AI-Ready Data Products by Unpacking Complex HL7 Data Using Snowflake,True
predictive-maintenance-with-snowflake-cortex,AI-Powered Predictive Maintenance on Snowflake,True
quantitative-research-with-ai-functions-and-cortex-code,Quant Research and Data Science with Cortex Code and AI Functions using Snowflake Public Data,True
retail-banking-credit-card-and-loan-analyst,Modernizing Retail Banking Analytics: Conversational Intelligence for Credit and Loan Portfolios,True
snowflake-postgres-logs-to-datadog,Monitor Snowflake Postgres Logs with Datadog,True
snowflake-postgres-logs-to-observe,Monitor Snowflake Postgres with Observe,True
snowflake-postgres-monitoring-grafana,Monitor Snowflake Postgres with Grafana,True
snowflake-postgres-pg-lake-iot,Bidirectional Data Pipelines with pg_lake and Snowflake,True
supply-chain-risk-intelligence-with-snowflake,Supply Chain Risk Intelligence for Manufacturing: Achieve N-Tier Visibility with Snowflake,True
telecom-network-ops-intelligence,End-to-End Telecom Network Operations Reporting and Analytics,True
vibe-code-a-streamlit-app,Vibe Code a Streamlit App,True
vibe-code-data-apps-with-replit-and-snowflake,Vibe Code Data Apps with Replit and Snowflake,True
