slug,repo_dir,title,repo_title,similarity,content_type,url
build-a-customer-review-analytics-dashboard,avalanche-customer-review-data-analytics,Build a Customer Review Analytics Dashboard,Build a Customer Review Analytics Dashboard with Snowflake Cortex and Streamlit,70%,Certified Solution,https://www.snowflake.com/en/developers/guides/build-a-customer-review-analytics-dashboard/
build-custom-llm-apps-with-snowpark-container-services-and-nvidia,build-a-native-app-with-spcs,Build LLM Apps with Snowpark Container Services and NVIDIA,Build a Snowflake Native App with Snowpark Container Services,74%,Partner Solution,https://www.snowflake.com/en/developers/guides/build-custom-llm-apps-with-snowpark-container-services-and-nvidia/
building-an-llm-large-language-model-application-with-snowflake-and-streamlit,data-app,Building an LLM (Large Language Model) Application,Building a Data Application,65%,Community Solution,https://www.snowflake.com/en/developers/guides/building-an-llm-large-language-model-application-with-snowflake-and-streamlit/
clinical-data-analysis-with-adam-and-sdtm-in-snowflake,security-analytics-with-wiz-and-snowflake,Clinical Data Analysis with ADaM and SDTM in Snowflake,Security Analytics with Wiz and Snowflake,65%,Certified Solution,https://www.snowflake.com/en/developers/guides/clinical-data-analysis-with-adam-and-sdtm-in-snowflake/
creating-semantic-models-for-snowflakes-cortex-analyst,getting-started-with-llmops-using-snowflake-cortex-and-trulens,Building AI-powered BI apps using Snowflake Cortex Analyst,Getting Started with LLMOps using Snowflake Cortex and TruLens,68%,Certified Solution,https://www.snowflake.com/en/developers/guides/creating-semantic-models-for-snowflakes-cortex-analyst/
creating-snowflake-objects-using-python-api1,setting-up-snowflake-environments-in-vertex-ai,"Creating Snowflake Objects, using Python API",Setting up Snowflake Environments in Vertex AI,62%,Certified Solution,https://www.snowflake.com/en/developers/guides/creating-snowflake-objects-using-python-api1/
data-connectivity-with-snowflake-openflow,data-modeling-with-sqldbm,Data Connectivity with Snowflake Openflow,Data Modeling With Snowflake + SqlDBM,62%,,https://www.snowflake.com/en/developers/guides/data-connectivity-with-snowflake-openflow/
end-to-end-external-ai-agent-observability,getting-started-with-ai-observability,End-to-End External AI Agent Observability,Getting Started with AI Observability,61%,Quickstart,https://www.snowflake.com/en/developers/guides/end-to-end-external-ai-agent-observability/
energy-price-forecasting-using-snowflake-native-app-and-snowpark-ml,data-mapping-in-native-apps,Energy Price Forecasting using Snowflake Native App and Snowpark ML,Data Mapping in Snowflake Native Apps using Streamlit,60%,Community Solution,https://www.snowflake.com/en/developers/guides/energy-price-forecasting-using-snowflake-native-app-and-snowpark-ml/
enriching-consumer-data-through-a-snowflake-native-app,getting-started-with-native-apps,Enriching Consumer Data Through a Snowflake Native App,Getting Started with Snowflake Native Apps,67%,Certified Solution,https://www.snowflake.com/en/developers/guides/enriching-consumer-data-through-a-snowflake-native-app/
fine-tuning-llms-using-snowpark-container-services-and-amazon-bedrock,fine-tune-an-llm-in-snowpark-container-services-with-autotrain,Fine tuning LLMs using Snowpark Container Services and Amazon Bedrock,Fine-Tuning an LLM in Snowpark Container Services with AutoTrain,75%,"Community Solution, Partner Solution",https://www.snowflake.com/en/developers/guides/fine-tuning-llms-using-snowpark-container-services-and-amazon-bedrock/
getting-started-with-global-interoperable-data-products,getting-started-with-snowpark-dataframe-api,Getting Started with Open and Interoperable Data Product Sharing ,Getting Started with Snowpark and the Dataframe API,66%,,https://www.snowflake.com/en/developers/guides/getting-started-with-global-interoperable-data-products/
getting-started-with-your-first-snowflake-notebook-project,getting-started-with-ocr-and-rag-with-snowflake-notebooks,Getting Started with Your First Snowflake Notebook Project,Getting Started with OCR and RAG with Snowflake Notebooks,78%,Certified Solution,https://www.snowflake.com/en/developers/guides/getting-started-with-your-first-snowflake-notebook-project/
how-to-build-a-rag-pipeline-with-llamaparse-and-snowflake-cortex,build-rag-app-with-streamlit-and-snowflake-cortex,How to Build a RAG Pipeline with LlamaParse and Snowflake Cortex,Build a RAG App with Streamlit and Snowflake Cortex,75%,Partner Solution,https://www.snowflake.com/en/developers/guides/how-to-build-a-rag-pipeline-with-llamaparse-and-snowflake-cortex/
how-to-load-csv-files-from-stage-to-snowflake-notebooks,intro-to-feature-store,How to load CSV files from stage to Snowflake Notebooks,Introduction to Snowflake Feature Store with Snowflake Notebooks,62%,Certified Solution,https://www.snowflake.com/en/developers/guides/how-to-load-csv-files-from-stage-to-snowflake-notebooks/
how-to-work-with-files-in-snowflake-notebooks,train-an-xgboost-model-with-gpus-using-snowflake-notebooks,How to work with files in Snowflake Notebooks,Train an XGBoost Model with GPUs using Snowflake Notebooks,64%,Certified Solution,https://www.snowflake.com/en/developers/guides/how-to-work-with-files-in-snowflake-notebooks/
investment-portfolio-analytics-with-snowflake-cortex,customer-reviews-analytics-using-snowflake-cortex,Investment Portfolio Analytics with Snowflake Cortex,Customer Reviews Analytics using Snowflake Cortex,71%,Certified Solution,https://www.snowflake.com/en/developers/guides/investment-portfolio-analytics-with-snowflake-cortex/
olympic-games-analytics-using-notebook-and-streamlit,tasty-bytes-rag-chatbot-using-cortex-and-streamlit,Olympic Games Analytics using Notebook and Streamlit,Tasty Bytes - RAG Chatbot Using Cortex and Streamlit,62%,Community Solution,https://www.snowflake.com/en/developers/guides/olympic-games-analytics-using-notebook-and-streamlit/
rag-chatbot-on-structured-data-with-fivetran,fivetran-vineyard-assistant-chatbot,Build a RAG-based Chatbot using Fivetran and Snowflake,"Build a RAG-based, GenAI chatbot using Structured Data with Snowflake and Fivetran",68%,Partner Solution,https://www.snowflake.com/en/developers/guides/rag-chatbot-on-structured-data-with-fivetran/
reference-cells-and-variables-in-snowflake-notebooks,role-based-access-auditing,Reference cells and variables in Snowflake Notebooks,Build Role-Based Access Audit Dashboards in Snowflake Notebooks,63%,Certified Solution,https://www.snowflake.com/en/developers/guides/reference-cells-and-variables-in-snowflake-notebooks/
siemens-industrial-edge-to-snowflake,getting-started-with-snowflake,Siemens Industrial Edge to Snowflake,Getting Started with Snowflake,61%,Partner Solution,https://www.snowflake.com/en/developers/guides/siemens-industrial-edge-to-snowflake/
understanding-customer-reviews-using-snowflake-cortex,analyzing-customer-reviews-using-hex-and-snowflake-cortex,Understanding Customer Reviews using Snowflake Cortex,Analyzing Customer Reviews With Hex and Snowflake Cortex,77%,Certified Solution,https://www.snowflake.com/en/developers/guides/understanding-customer-reviews-using-snowflake-cortex/
